Time,Flux,Flux err
2459065.430336311,6277.3027,10.870343
2459065.431725197,6280.2393,10.871359
2459065.4331140835,6288.194,10.879654
2459065.43450297,6280.6357,10.883227
2459065.435891856,6300.1553,10.890393
2459065.437280742,6275.876,10.887419
2459065.4386696285,6284.853,10.870718
2459065.440058515,6300.682,10.883658
2459065.441447401,6284.669,10.873761
2459065.442836287,6284.724,10.879306
2459065.4442251734,6277.632,10.870391
2459065.44561406,6288.266,10.872229
2459065.447002946,6296.097,10.884002
2459065.448391832,6296.314,10.896543
2459065.4497807184,6279.081,10.875514
2459065.4511696044,6290.0527,10.875455
2459065.452558491,6283.563,10.868799
2459065.453947377,6282.445,10.877047
2459065.4553362634,6279.3535,10.872871
2459065.4567251494,6276.422,10.872397
2459065.458114036,6276.3936,10.8674135
2459065.459502922,6283.6035,10.87761
2459065.4608918084,6283.4536,10.880491
2459065.4622806944,6277.5728,10.87719
2459065.4636695804,6283.706,10.87574
2459065.465058467,6296.3896,10.873479
2459065.466447353,6279.652,10.871038
2459065.4678362394,6283.141,10.87362
2459065.4692251254,6260.9204,10.864443
2459065.470614012,6259.747,10.865126
2459065.472002898,6251.106,10.858424
2459065.473391784,6219.9507,10.8440695
2459065.4747806704,6234.8813,10.850418
2459065.476169557,6199.2773,10.82937
2459065.477558443,6217.1855,10.836732
2459065.478947329,6210.899,10.828251
2459065.4803362153,6204.241,10.82771
2459065.4817251014,6204.5,10.826098
2459065.4831139874,6194.417,10.826218
2459065.484502874,6185.099,10.82023
2459065.48589176,6198.269,10.824403
2459065.487280646,6189.395,10.819232
2459065.4886695324,6183.021,10.818822
2459065.4900584184,6185.297,10.826107
2459065.491447305,6190.9253,10.826696
2459065.492836191,6200.6035,10.841896
2459065.494225077,6188.4067,10.824682
2459065.4956139633,6178.9575,10.81767
2459065.4970028494,6188.6772,10.817944
2459065.4983917354,6173.477,10.805015
2459065.499780622,6191.833,10.824844
2459065.501169508,6188.1714,10.821645
2459065.502558394,6193.867,10.81904
2459065.5039472803,6178.9653,10.807731
2459065.5053361664,6182.961,10.818467
2459065.506725053,6166.693,10.810429
2459065.508113939,6172.912,10.802673
2459065.509502825,6180.345,10.813158
2459065.510891711,6185.454,10.818288
2459065.5122805974,6173.5396,10.81253
2459065.5136694834,6185.829,10.820489
2459065.5150583694,6175.4355,10.81403
2459065.516447256,6170.0815,10.817333
2459065.517836142,6172.1284,10.82098
2459065.519225028,6180.095,10.817019
2459065.5206139144,6183.0044,10.814342
2459065.5220028004,6179.3726,10.827209
2459065.5233916864,6198.8945,10.819088
2459065.5247805724,6201.881,10.830382
2459065.526169459,6186.2754,10.825278
2459065.527558345,6192.4194,10.82311
2459065.528947231,6183.1313,10.811726
2459065.530336117,6196.2344,10.820096
2459065.5317250034,6190.1436,10.822549
2459065.5331138894,6177.784,10.814855
2459065.5345027754,6182.38,10.82321
2459065.535891662,6184.856,10.821026
2459065.537280548,6180.808,10.810016
2459065.538669434,6182.155,10.814546
2459065.54005832,6184.0312,10.822749
2459065.5414472064,6192.426,10.8209305
2459065.5428360924,6192.4,10.825197
2459065.5442249784,6187.89,10.822043
2459065.5456138644,6206.0737,10.824061
2459065.5470027504,6186.358,10.821012
2459065.5483916365,6207.672,10.833495
2459065.549780523,6171.081,10.819437
2459065.551169409,6215.102,10.844866
2459065.552558295,6228.5625,10.849307
2459065.553947181,6241.3354,10.847691
2459065.5553360675,6219.234,10.8351145
2459065.5567249535,6263.537,10.861017
2459065.5581138395,6266.8174,10.865921
2459065.5595027255,6284.729,10.879639
2459065.5608916115,6255.63,10.859942
2459065.562280498,6278.87,10.87541
2459065.563669384,6295.5244,10.881795
2459065.56505827,6283.743,10.876506
2459065.566447156,6298.5195,10.883508
2459065.567836042,6266.309,10.873375
